Auction Title,Auction ID,Department,Close Date,Winning Bid,CC Fee,Fee Percent,Auction Fee Subtotal,Auction Fee Total,Pay Status,Asset #,Inventory ID,Decal /Vehicle ID,VTR Number,Receipt Number,Cap,Expenses,Net Sales,Fund,Business Unit
Item 22,72496,PUBLIC DEFENDER,41669,241.51,11.18,0.18,43.47,54.65,Pending,65180,"78131, 72966",,,3670168237,3000,0,186.86,General Fund,0
Item 23,79119,OFM,41680,98.62,5.74,0.14,13.81,19.55,Failed,,"77003, 71129, 75014",,,3637961299,3000,0,79.07,Enterprise,0
Item 24,74577,SCHOOL BOARD WAREHOUSE,41569,338.92,8.31,0.15,50.84,59.15,Successful,71819,77245,,3586465363,3681582828,3000,0,279.77,General Fund,0
Item 25,73067,OFM,41629,909.89,11.44,0.28,254.77,266.21,Successful,,"75952, 73638, 72060",,3516987546,3661257025,3000,0,643.68,General Fund,0
Item 26,75566,PARKS,41663,533.47,12.98,0.16,85.36,98.34,Failed,32044,"79038, 71086",Dec-23,,Money Order,3000,0,435.13,General Fund,0
Item 27,72518,PARKS,41584,793.44,5.08,0.3,238.03,243.11,Pending,,"76035, 74392, 74800",,3382541264,3604257834,3000,0,550.33,Enterprise,0
Item 28,70859,PARKS,41689,608.21,2.59,0.26,158.13,160.72,Successful,,"70990, 71829",Dec-21,,3643028608,3000,0,447.49,General Fund,0
Item 29,78002,OFM,41624,429.22,4.88,0.17,72.97,77.85,Successful,,76255,Dec-77,3022341632,3635204878,3000,0,351.37,Restricted Fund,0
Item 30,76663,OFM,41520,723.84,13.63,0.19,137.53,151.16,Failed,95626,"75961, 77510",,,3647761627,3000,0,572.68,Restricted Fund,0
Item 31,73101,SCHOOL BOARD WAREHOUSE,41668,660.63,8.65,0.16,105.7,114.35,Failed,64749,77845,,,3677536265,3000,0,546.28,Enterprise,0
Item 32,76823,PARKS,41676,398.02,0.09,0.18,71.64,71.73,Pending,,"70689, 79341",,,3634439010,3000,0,326.29,Enterprise,0
Item 33,70150,SCHOOL BOARD WAREHOUSE,41551,254.01,13.45,0.27,68.58,82.03,Failed,,"73497, 78167, 78244",Dec-89,3599818008,Money Order,3000,0,171.98,Restricted Fund,0
Item 34,76663,SCHOOL BOARD WAREHOUSE,41560,423.14,1.25,0.15,63.47,64.72,Failed,49328,76137,DEC-1023,,Money Order,3000,0,358.42,Restricted Fund,0
Item 35,74058,PARKS,41667,511.21,11.25,0.28,143.14,154.39,Pending,,78499,Dec-26,3331632271,3601115179,3000,0,356.82,General Fund,0
Item 36,75264,PUBLIC DEFENDER,41610,660.17,0.81,0.24,158.44,159.25,Pending,,"79228, 78457, 75999",Dec-15,,3647077932,3000,0,500.92,Restricted Fund,0
Item 37,78925,PUBLIC DEFENDER,41512,880.86,4.2,0.27,237.83,242.03,Failed,,"72699, 71565",Dec-98,,Money Order,3000,0,638.83,Enterprise,0
Item 38,77906,PUBLIC DEFENDER,41632,892.18,1.04,0.13,115.98,117.02,Pending,,"72485, 78414, 70611",Dec-88,,3659202034,3000,0,775.16,General Fund,0
Item 39,74245,PARKS,41520,638.39,10.79,0.25,159.6,170.39,Successful,68427,"72111, 79107",DEC-1876,3055829762,Money Order,3000,0,468,Enterprise,0
Item 40,72763,OFM,41666,262.66,10.5,0.28,73.54,84.04,Failed,95999,76484,Dec-44,,Money Order,3000,0,178.62,Enterprise,0
Item 41,74134,PARKS,41508,685.07,12.86,0.25,171.27,184.13,Failed,,"73179, 78183",,,Money Order,3000,0,500.94,General Fund,0
Item 42,72485,SCHOOL BOARD WAREHOUSE,41634,976.46,12.1,0.11,107.41,119.51,Failed,33628,"71582, 79279, 76265",Dec-11,,3686487088,3000,0,856.95,Enterprise,0
Item 43,76201,SCHOOL BOARD WAREHOUSE,41600,785.68,4.81,0.22,172.85,177.66,Pending,99767,"77961, 79794",,3106783357,3666596165,3000,0,608.02,Restricted Fund,0
Item 44,78832,PUBLIC DEFENDER,41578,784.73,3.04,0.14,109.86,112.9,Failed,,"79805, 71358",,3499502577,3671957274,3000,0,671.83,Enterprise,0
Item 45,77228,OFM,41619,40.85,9.88,0.3,12.26,22.14,Successful,29562,"70931, 77030, 75318",,,3611178312,3000,0,18.71,Enterprise,0
Item 46,79240,OFM,41531,92.29,8.99,0.13,12,20.99,Successful,60956,"73691, 70275",Dec-67,3220561770,Money Order,3000,0,71.3,General Fund,0
Item 47,71092,ITS,41656,938.49,0.2,0.29,272.16,272.36,Pending,45374,"70067, 75615",,,Money Order,3000,0,666.13,General Fund,0
Item 48,72620,PUBLIC DEFENDER,41675,69.87,1.91,0.26,18.17,20.08,Successful,,"71391, 75037, 78557",Dec-78,,Money Order,3000,0,49.79,Restricted Fund,0
Item 49,73793,PARKS,41620,327.26,5.77,0.24,78.54,84.31,Pending,61724,"79150, 75272",,,Money Order,3000,0,242.95,Restricted Fund,0
Item 50,78934,SCHOOL BOARD WAREHOUSE,41502,857.41,10.67,0.23,197.2,207.87,Successful,,75308,,,Money Order,3000,0,649.54,Restricted Fund,0
Item 51,79327,PUBLIC DEFENDER,41540,685.63,1.66,0.11,75.42,77.08,Failed,33362,"71913, 77657, 75198",,,3640698651,3000,0,608.55,General Fund,0
Item 52,77092,SCHOOL BOARD WAREHOUSE,41533,68.41,8.23,0.27,18.47,26.7,Failed,86596,"74912, 72542",Dec-54,,3663762425,3000,0,41.71,Enterprise,0
Item 53,71464,PUBLIC DEFENDER,41615,865.63,2.44,0.23,199.09,201.53,Failed,84461,"74821, 78831, 71140",,,Money Order,3000,0,664.1,Restricted Fund,0
Item 54,70163,PUBLIC DEFENDER,41540,182.32,9.06,0.11,20.06,29.12,Failed,97400,74459,,,3660080869,3000,0,153.2,Enterprise,0
Item 55,75951,ITS,41566,333.55,12.09,0.28,93.39,105.48,Failed,,"76532, 77251",Dec-54,,Money Order,3000,0,228.07,Restricted Fund,0
Item 56,74141,ITS,41689,746.62,5.11,0.23,171.72,176.83,Pending,,78209,,3062994174,3626078321,3000,0,569.79,Restricted Fund,0
Item 57,70896,SCHOOL BOARD WAREHOUSE,41500,103.12,12.78,0.17,17.53,30.31,Successful,98316,"72964, 75053, 72194",,,3654086542,3000,0,72.81,General Fund,0
Item 58,70513,SCHOOL BOARD WAREHOUSE,41629,126.43,0.65,0.14,17.7,18.35,Successful,10210,70580,Dec-66,,3624698035,3000,0,108.08,Restricted Fund,0
Item 59,72248,ITS,41657,339.27,14.42,0.13,44.11,58.53,Pending,66704,70660,Dec-67,,3686684750,3000,0,280.74,General Fund,0
Item 60,78433,PARKS,41540,921.89,9.9,0.24,221.25,231.15,Successful,76128,"75673, 78588",Dec-61,3029367009,3699502411,3000,0,690.74,Restricted Fund,0
Item 61,79588,PUBLIC DEFENDER,41658,238.17,0.13,0.25,59.54,59.67,Pending,,"79577, 76106, 78508",,,3623804499,3000,0,178.5,Enterprise,0
Item 62,77075,ITS,41597,352.98,13.55,0.23,81.19,94.74,Successful,18931,"78988, 76925, 74720",Dec-63,,3619645113,3000,0,258.24,Restricted Fund,0
Item 63,74852,GENERAL SERVICES,41501,134.6,12.29,0.28,37.69,49.98,Pending,49322,77589,,,3694799216,3000,0,84.62,General Fund,0
Item 64,78326,GENERAL SERVICES,41564,886.78,2.8,0.22,195.09,197.89,Pending,19109,71872,,,3606750082,3000,0,688.89,Restricted Fund,0
Item 65,71363,GENERAL SERVICES,41534,171.8,14.8,0.16,27.49,42.29,Pending,39980,72298,,,3600913614,3000,0,129.51,Enterprise,0
Item 66,71331,OFM,41518,848.26,6.87,0.17,144.2,151.07,Pending,21289,"75729, 78560",,,Money Order,3000,0,697.19,General Fund,0
Item 67,74708,GENERAL SERVICES,41596,552.57,5.44,0.11,60.78,66.22,Successful,59157,"72216, 77479",Dec-64,,3693453335,3000,0,486.35,Enterprise,0
Item 68,71180,ITS,41655,681.32,13.5,0.29,197.58,211.08,Successful,28748,73854,,,3654044280,3000,0,470.24,Restricted Fund,0
Item 69,76007,PUBLIC DEFENDER,41661,187.33,6.26,0.14,26.23,32.49,Failed,23100,"70909, 72478",,,3655149506,3000,0,154.84,Restricted Fund,0
Item 70,78782,PARKS,41602,948.77,10.98,0.12,113.85,124.83,Successful,59678,"73743, 74678, 70027",,,3674513677,3000,0,823.94,Enterprise,0
Item 71,71608,GENERAL SERVICES,41697,827.94,4.77,0.24,198.71,203.48,Successful,13606,"70929, 73512",,,3677715256,3000,0,624.46,Enterprise,0
Item 72,70540,GENERAL SERVICES,41609,166.75,4.9,0.25,41.69,46.59,Successful,22766,76845,Dec-98,3570742575,Money Order,3000,0,120.16,Enterprise,0
Item 73,71050,PARKS,41655,103.95,10.4,0.19,19.75,30.15,Failed,93841,"75808, 70305",Dec-30,,3696703310,3000,0,73.8,Enterprise,0
Item 74,70754,PUBLIC DEFENDER,41689,457.6,6.95,0.11,50.34,57.29,Pending,16631,"79748, 76339, 71413",,3423638318,3609175837,3000,0,400.31,Restricted Fund,0
Item 75,79687,GENERAL SERVICES,41686,189.3,11.33,0.14,26.5,37.83,Failed,,"77492, 73289, 79870",,3122891750,3635410030,3000,0,151.47,General Fund,0
Item 76,78906,PARKS,41571,485.3,8.65,0.3,145.59,154.24,Failed,41772,"70546, 77370",,,3651827764,3000,0,331.06,General Fund,0
Item 77,74061,GENERAL SERVICES,41574,977.7,7.42,0.28,273.76,281.18,Successful,,75740,Dec-81,,3650149167,3000,0,696.52,Restricted Fund,0
Item 78,76917,OFM,41572,421.15,6.82,0.2,84.23,91.05,Successful,22462,"71472, 70026, 72767",Dec-16,3218481603,Money Order,3000,0,330.1,Enterprise,0
Item 79,71565,SCHOOL BOARD WAREHOUSE,41669,207.26,0.94,0.22,45.6,46.54,Failed,76080,"78136, 77016",Dec-36,3168479046,3617429000,3000,0,160.72,Restricted Fund,0
Item 80,71494,PARKS,41541,199.22,0.85,0.26,51.8,52.65,Pending,,"75652, 75086",,,3619091937,3000,0,146.57,Restricted Fund,0
Item 81,76896,PUBLIC DEFENDER,41525,120.16,2.1,0.28,33.64,35.74,Pending,99586,"79963, 79833",Dec-07,3277583427,Money Order,3000,0,84.42,General Fund,0
Item 82,77317,GENERAL SERVICES,41649,606.46,9.11,0.2,121.29,130.4,Pending,19572,75652,Dec-46,,3609131833,3000,0,476.06,Restricted Fund,0
Item 83,73714,PARKS,41633,222.27,8.48,0.25,55.57,64.05,Successful,91414,72335,Dec-78,3234217997,3695011643,3000,0,158.22,Enterprise,0
Item 84,79859,PUBLIC DEFENDER,41540,171.88,5.44,0.13,22.34,27.78,Failed,58919,73817,,3458855084,3671614881,3000,0,144.1,General Fund,0
Item 85,71434,PARKS,41676,163.32,11.09,0.1,16.33,27.42,Failed,69186,"77474, 72363, 76770",Dec-82,,3666525884,3000,0,135.9,Restricted Fund,0
Item 86,77703,OFM,41504,938.23,6.64,0.1,93.82,100.46,Pending,35364,"74154, 79036",,,3636288963,3000,0,837.77,Enterprise,0
Item 87,79456,ITS,41585,473.48,4.75,0.15,71.02,75.77,Pending,67848,"76930, 72397",,,3639441782,3000,0,397.71,Enterprise,0
Item 88,72329,SCHOOL BOARD WAREHOUSE,41623,757.03,11.02,0.27,204.4,215.42,Successful,55682,79568,Dec-58,,3665160857,3000,0,541.61,Restricted Fund,0
Item 89,77455,GENERAL SERVICES,41668,523.95,7.55,0.23,120.51,128.06,Failed,27827,"74856, 73367, 75815",,,Money Order,3000,0,395.89,General Fund,0
Item 90,79195,PARKS,41687,761.65,2.46,0.21,159.95,162.41,Pending,32951,72507,Dec-99,,Money Order,3000,0,599.24,Enterprise,0
Item 91,71676,OFM,41662,976.07,5.74,0.28,273.3,279.04,Pending,83798,78114,,,3637902805,3000,0,697.03,Enterprise,0
Item 92,73690,SCHOOL BOARD WAREHOUSE,41575,615.97,14.52,0.15,92.4,106.92,Pending,68657,77750,Dec-13,3085022783,3662694150,3000,0,509.05,General Fund,0
Item 93,78411,OFM,41539,147,9.09,0.16,23.52,32.61,Failed,52078,"77708, 72268, 72505",DEC-1528,,3699598907,3000,0,114.39,General Fund,0
Item 94,76356,ITS,41514,723.14,14.37,0.21,151.86,166.23,Pending,69285,"72448, 77637",Dec-96,3570700623,3634333900,3000,0,556.91,Restricted Fund,0
Item 95,76713,PARKS,41624,198.89,2.14,0.15,29.83,31.97,Successful,34033,79401,,,Money Order,3000,0,166.92,General Fund,0
Item 96,72335,ITS,41652,967.09,11.67,0.19,183.75,195.42,Pending,94429,71935,,,Money Order,3000,0,771.67,Enterprise,0
Item 97,75094,GENERAL SERVICES,41587,167.93,3.75,0.12,20.15,23.9,Pending,80695,"77447, 75975",,,Money Order,3000,0,144.03,Restricted Fund,0
Item 98,77980,OFM,41687,662.49,11.03,0.29,192.12,203.15,Failed,,"77120, 78690",,3487832522,Money Order,3000,0,459.34,General Fund,0
Item 99,79949,ITS,41648,967,11.75,0.25,241.75,253.5,Pending,,"78366, 76089",Dec-87,3251113353,3647702698,3000,0,713.5,Enterprise,0
Item 100,76616,PUBLIC DEFENDER,41651,871.09,3.98,0.18,156.8,160.78,Successful,58426,"72333, 74349, 76051",,,3646375913,3000,0,710.31,Restricted Fund,0
Item 101,79616,OFM,41567,691.39,1.25,0.21,145.19,146.44,Failed,93229,"78372, 79446, 76944",DEC-1069,3062530380,Money Order,3000,0,544.95,Enterprise,0
Item 102,75893,SCHOOL BOARD WAREHOUSE,41617,410.05,13.03,0.12,49.21,62.24,Failed,22512,"79775, 78912, 75367",Dec-46,,3677143908,3000,0,347.81,General Fund,0
Item 103,72399,OFM,41665,576.71,3.14,0.15,86.51,89.65,Failed,93908,"77404, 78003",Dec-24,,3669023488,3000,0,487.06,General Fund,0
Item 104,73472,ITS,41565,765.62,8.42,0.21,160.78,169.2,Failed,15483,"74645, 71735, 70284",Dec-88,3212490923,Money Order,3000,0,596.42,Restricted Fund,0
Item 105,78771,GENERAL SERVICES,41682,745.85,8.45,0.1,74.59,83.04,Successful,48795,74266,,,3675933492,3000,0,662.81,Restricted Fund,0
Item 106,77066,PUBLIC DEFENDER,41685,50.49,12.45,0.14,7.07,19.52,Pending,49085,"79486, 76229",,3421222906,Money Order,3000,0,30.97,General Fund,0
Item 107,70585,GENERAL SERVICES,41696,115.29,0.85,0.13,14.99,15.84,Successful,50812,"70309, 72427",Dec-22,3064764650,3680773708,3000,0,99.45,General Fund,0
Item 108,73891,SCHOOL BOARD WAREHOUSE,41666,865.19,4.72,0.23,198.99,203.71,Successful,62834,"78925, 71634",Dec-01,3344585887,3637198275,3000,0,661.48,Restricted Fund,0
Item 109,77271,PARKS,41664,534.19,13.11,0.23,122.86,135.97,Failed,16307,"75754, 75373, 72382",Dec-71,,3636766083,3000,0,398.22,Restricted Fund,0
Item 110,72320,OFM,41622,431.18,13.88,0.19,81.92,95.8,Successful,,"77695, 74888, 72707",Dec-76,3581173946,3660546441,3000,0,335.38,Enterprise,0
Item 111,78480,PUBLIC DEFENDER,41570,354.25,12.18,0.17,60.22,72.4,Successful,,76965,Dec-23,,3683855072,3000,0,281.85,Enterprise,0
Item 112,72961,OFM,41529,458.12,6.56,0.18,82.46,89.02,Successful,,"74369, 76865, 76533",Dec-26,,3635831490,3000,0,369.1,General Fund,0
Item 113,78044,PARKS,41568,744.48,1.11,0.25,186.12,187.23,Failed,56502,"70064, 70553",,,Money Order,3000,0,557.25,Enterprise,0
Item 114,75473,ITS,41540,209.29,0.94,0.16,33.49,34.43,Successful,,"76435, 72472, 74354",DEC-1012,,3616694261,3000,0,174.86,Enterprise,0
Item 115,71164,ITS,41558,842.79,10.04,0.27,227.55,237.59,Failed,93387,78596,Dec-44,,3628787144,3000,0,605.2,Restricted Fund,0
Item 116,77417,SCHOOL BOARD WAREHOUSE,41653,607.67,13.25,0.18,109.38,122.63,Pending,,"77157, 74286",,3481350945,Money Order,3000,0,485.04,Enterprise,0
Item 117,73630,PUBLIC DEFENDER,41647,30.54,2.14,0.19,5.8,7.94,Successful,26988,"74776, 79378",,,3634909254,3000,0,22.6,General Fund,0
Item 118,73668,SCHOOL BOARD WAREHOUSE,41600,872.08,9.16,0.27,235.46,244.62,Pending,72595,77067,Dec-22,,3689239723,3000,0,627.46,Enterprise,0
Item 119,75771,PUBLIC DEFENDER,41546,53.17,1.91,0.28,14.89,16.8,Pending,52686,71637,Dec-12,,Money Order,3000,0,36.37,Enterprise,0
Item 120,78035,GENERAL SERVICES,41657,807.61,7.94,0.2,161.52,169.46,Failed,25215,"72617, 76491",,3171620067,3614028104,3000,0,638.15,Restricted Fund,0
Item 121,74552,SCHOOL BOARD WAREHOUSE,41570,561.62,6.3,0.16,89.86,96.16,Failed,68785,"71908, 75715, 71792",Dec-87,,3641863890,3000,0,465.46,Restricted Fund,0
Item 122,70891,GENERAL SERVICES,41675,462.43,8.47,0.13,60.12,68.59,Pending,,"78925, 79245, 75991",,,3602401038,3000,0,393.84,Enterprise,0
Item 123,71147,SCHOOL BOARD WAREHOUSE,41566,827.93,8.61,0.29,240.1,248.71,Successful,68568,79751,,,3692141692,3000,0,579.22,Enterprise,0
Item 124,77050,GENERAL SERVICES,41682,351.58,9.95,0.27,94.93,104.88,Successful,,"76109, 75009",Dec-34,,3661435242,3000,0,246.7,Enterprise,0
Item 125,78371,PARKS,41679,166.82,11.92,0.15,25.02,36.94,Pending,80506,70015,,,3636722452,3000,0,129.88,Enterprise,0
Item 126,75704,PARKS,41675,922.58,1.8,0.21,193.74,195.54,Pending,,"79674, 70601, 74593",,,3673599340,3000,0,727.04,Restricted Fund,0
Item 127,77621,ITS,41630,455.62,9.08,0.15,68.34,77.42,Successful,,"70371, 78744, 73138",Dec-34,,Money Order,3000,0,378.2,Enterprise,0
Item 128,71017,PUBLIC DEFENDER,41588,474.82,9.49,0.16,75.97,85.46,Successful,86367,73470,Dec-25,3241196987,3641728428,3000,0,389.36,General Fund,0
Item 129,76430,ITS,41676,606.02,3.92,0.13,78.78,82.7,Pending,,"77788, 70236, 79336",,,Money Order,3000,0,523.32,Enterprise,0
Item 130,77476,SCHOOL BOARD WAREHOUSE,41603,325.07,6.99,0.25,81.27,88.26,Successful,22930,"79138, 78491",,,3610573991,3000,0,236.81,Restricted Fund,0
Item 131,78461,SCHOOL BOARD WAREHOUSE,41583,27.29,6.48,0.12,3.27,9.75,Pending,15347,79750,Dec-68,,3624844642,3000,0,17.54,General Fund,0
Item 132,71361,PUBLIC DEFENDER,41519,642.3,7.04,0.24,154.15,161.19,Failed,37523,"72842, 70534, 74376",,,3644040592,3000,0,481.11,Enterprise,0
Item 133,72420,SCHOOL BOARD WAREHOUSE,41643,304.71,11.7,0.28,85.32,97.02,Failed,,72477,Dec-84,,3693796673,3000,0,207.69,General Fund,0
Item 134,77760,SCHOOL BOARD WAREHOUSE,41659,867.71,10.5,0.26,225.6,236.1,Successful,16106,"75381, 71721",Dec-84,,3664593176,3000,0,631.61,General Fund,0
Item 135,75913,ITS,41510,79.14,3.33,0.2,15.83,19.16,Successful,,"76159, 74701, 79696",,,3638301335,3000,0,59.98,Enterprise,0
Item 136,77812,PUBLIC DEFENDER,41638,783.09,6.73,0.23,180.11,186.84,Failed,19480,"76623, 70562",,,3606196314,3000,0,596.25,General Fund,0
Item 137,77328,PUBLIC DEFENDER,41663,315.12,3.75,0.26,81.93,85.68,Pending,72958,"78721, 79597",,3549816206,Money Order,3000,0,229.44,Restricted Fund,0
Item 138,70252,PARKS,41643,598.52,11.09,0.2,119.7,130.79,Successful,78961,"76557, 75022, 78608",Dec-19,3509412286,3649189774,3000,0,467.73,Enterprise,0
Item 139,77235,OFM,41512,892.57,1.61,0.22,196.37,197.98,Pending,26585,"77798, 72776",,,3610686244,3000,0,694.59,General Fund,0
Item 140,71866,GENERAL SERVICES,41647,908.73,3.98,0.14,127.22,131.2,Successful,27489,"77868, 71098, 77740",Dec-77,3250370560,Money Order,3000,0,777.53,General Fund,0
Item 141,70777,OFM,41644,362.54,1.31,0.29,105.14,106.45,Successful,68252,79967,,3227447527,3694094511,3000,0,256.09,Restricted Fund,0
Item 142,77623,SCHOOL BOARD WAREHOUSE,41532,980.93,14.5,0.25,245.23,259.73,Pending,80062,"75534, 79509",,,3684230609,3000,0,721.2,General Fund,0
Item 143,72152,SCHOOL BOARD WAREHOUSE,41543,401.51,12.68,0.21,84.32,97,Failed,92348,"78498, 78645",,3182208828,3671785500,3000,0,304.51,Enterprise,0
Item 144,78272,ITS,41587,254.35,8.37,0.29,73.76,82.13,Failed,36230,"78308, 71332, 70666",Dec-86,3042825912,3683624437,3000,0,172.22,Enterprise,0
Item 145,72728,PUBLIC DEFENDER,41542,759.45,1.51,0.16,121.51,123.02,Failed,,71269,,,Money Order,3000,0,636.43,General Fund,0
Item 146,77895,PARKS,41553,374.06,11.09,0.24,89.77,100.86,Successful,70910,"79409, 74133",Dec-09,,3649288326,3000,0,273.2,General Fund,0
Item 147,76331,OFM,41513,525.22,1.6,0.14,73.53,75.13,Pending,84842,"72303, 72749",,3594853076,3610169483,3000,0,450.09,Restricted Fund,0
Item 148,70878,PARKS,41694,829.16,9.61,0.23,190.71,200.32,Pending,51693,"76016, 70966, 73409",,,3656362441,3000,0,628.84,General Fund,0
Item 149,70577,SCHOOL BOARD WAREHOUSE,41533,686.34,4.49,0.19,130.4,134.89,Pending,,"73067, 71633, 76152",DEC-1382,3570476521,3676299067,3000,0,551.45,Restricted Fund,0
Item 150,74021,PARKS,41578,255.51,11.06,0.15,38.33,49.39,Pending,89340,77472,,,3671441239,3000,0,206.12,Enterprise,0
Item 151,79130,GENERAL SERVICES,41584,516.66,7.92,0.27,139.5,147.42,Failed,44717,"70952, 78382",,3457736456,Money Order,3000,0,369.24,Enterprise,0
Item 152,79709,SCHOOL BOARD WAREHOUSE,41529,539.2,0.59,0.15,80.88,81.47,Pending,98724,"74951, 73094",Dec-63,,3677031095,3000,0,457.73,General Fund,0
Item 153,70925,PUBLIC DEFENDER,41528,918.29,0.15,0.24,220.39,220.54,Failed,98305,"74171, 76180",Dec-53,,Money Order,3000,0,697.75,Enterprise,0
Item 154,75935,SCHOOL BOARD WAREHOUSE,41521,99.85,9.09,0.27,26.96,36.05,Pending,28896,71633,Dec-46,,3610466214,3000,0,63.8,Enterprise,0
Item 155,76432,OFM,41656,801,5.9,0.19,152.19,158.09,Successful,64975,"75282, 72511, 77507",DEC-1077,,Money Order,3000,0,642.91,Enterprise,0
Item 156,78213,SCHOOL BOARD WAREHOUSE,41582,519.71,10.65,0.29,150.72,161.37,Successful,44076,"72241, 74253, 78862",Dec-95,3543233754,3608771916,3000,0,358.34,Restricted Fund,0
Item 157,78784,PARKS,41553,769.12,14.14,0.15,115.37,129.51,Failed,55778,70737,Dec-24,,3645470491,3000,0,639.61,Restricted Fund,0
Item 158,71799,PARKS,41642,437.05,8.37,0.19,83.04,91.41,Failed,,"76007, 79621, 73299",Dec-62,,3641251997,3000,0,345.64,Restricted Fund,0
Item 159,71307,PARKS,41536,549.11,7.68,0.17,93.35,101.03,Successful,33610,76763,,3242191539,3626737126,3000,0,448.08,General Fund,0
Item 160,77349,ITS,41580,511.56,11.38,0.26,133.01,144.39,Successful,50108,"73692, 76215, 71587",Dec-96,,3618129456,3000,0,367.17,General Fund,0
Item 161,76535,GENERAL SERVICES,41661,187.36,6.51,0.22,41.22,47.73,Failed,36688,"77947, 74937",DEC-1050,3274737123,3695262311,3000,0,139.63,Enterprise,0
Item 162,73133,PARKS,41593,979.31,1.38,0.21,205.66,207.04,Failed,,"71602, 71102, 71060",Dec-47,3042455909,Money Order,3000,0,772.27,General Fund,0
Item 163,75733,ITS,41533,261.65,3.2,0.15,39.25,42.45,Failed,92835,"73072, 70100, 75327",,3584410739,3607084847,3000,0,219.2,Restricted Fund,0
Item 164,77119,SCHOOL BOARD WAREHOUSE,41634,214.02,8.7,0.15,32.1,40.8,Pending,,"71088, 75925, 71650",,,3693679253,3000,0,173.22,Restricted Fund,0
Item 165,76251,SCHOOL BOARD WAREHOUSE,41584,685.24,13.92,0.26,178.16,192.08,Failed,86782,75197,,,3607532592,3000,0,493.16,Enterprise,0
